index,sensor_id,latitude,longitude
0,400001,37.364085,-121.901149
1,400017,37.253303,-121.94544
2,400030,37.359087,-121.906538
3,400040,37.294949,-121.873109
4,400045,37.363402,-121.902233
5,400052,37.255791,-121.875479
6,400057,37.335022,-121.935522
7,400059,37.250481,-121.907735
8,400065,37.320292,-121.890281
9,400069,37.385758,-121.977493
10,400073,37.2563,-121.955559
11,400084,37.329258,-122.012053
12,400085,37.255594,-121.87471
13,400088,37.414988,-121.912685
14,400096,37.417981,-121.972547
15,400097,37.279012,-122.010614
16,400100,37.295052,-121.938872
17,400104,37.419313,-121.95548
18,400109,37.362706,-121.889426
19,400122,37.36614,-121.901132
20,400147,37.34221,-121.926305
21,400148,37.250664,-121.912479
22,400149,37.4118,-122.077964
23,400158,37.421059,-121.93678
24,400160,37.348392,-121.860589
25,400168,37.391166,-121.995524
26,400172,37.376264,-121.939712
27,400174,37.403686,-122.06976
28,400178,37.276874,-121.863698
29,400185,37.303131,-122.034527
30,400201,37.419186,-121.962831
31,400206,37.381356,-121.96211
32,400209,37.319961,-122.049031
33,400213,37.259192,-121.967128
34,400221,37.293614,-121.937899
35,400222,37.275395,-122.004702
36,400227,37.377237,-121.943586
37,400236,37.325009,-121.892984
38,400238,37.413256,-121.912324
39,400240,37.258184,-121.953853
40,400246,37.386551,-121.979462
41,400253,37.342957,-121.925721
42,400257,37.291715,-121.871799
43,400258,37.313462,-121.886197
44,400268,37.255651,-121.858078
45,400274,37.409627,-121.997252
46,400278,37.266561,-121.948692
47,400280,37.26198,-121.858479
48,400292,37.316378,-121.972052
49,400296,37.420359,-121.93915
50,400298,37.293047,-121.937861
51,400330,37.398628,-122.026802
52,400336,37.250624,-121.928209
53,400343,37.348907,-121.917833
54,400353,37.383125,-121.967496
55,400372,37.38482,-121.974251
56,400394,37.364382,-121.902692
57,400400,37.34241,-121.854543
58,400414,37.317942,-121.977301
59,400418,37.291828,-121.871836
60,400429,37.319424,-121.993175
61,400435,37.403153,-122.047463
62,400436,37.271687,-121.947037
63,400440,37.353727,-121.865827
64,400449,37.419452,-121.955498
65,400457,37.276763,-121.863661
66,400461,37.254781,-121.878917
67,400464,37.258029,-121.962211
68,400479,37.362439,-121.903211
69,400485,37.254231,-121.949216
70,400499,37.331068,-122.014931
71,400507,37.298931,-122.029806
72,400508,37.34766,-121.919969
73,400514,37.334602,-121.936288
74,400519,37.255257,-121.85256
75,400528,37.388893,-122.068829
76,400545,37.40013,-122.033628
77,400560,37.324839,-122.002891
78,400563,37.325124,-121.893062
79,400567,37.418931,-121.962821
80,400581,37.402668,-122.029069
81,400582,37.275212,-122.004898
82,400586,37.376835,-121.942537
83,400637,37.255322,-121.855765
84,400643,37.390763,-121.994912
85,400648,37.303016,-122.034801
86,400649,37.251741,-121.958118
87,400654,37.297486,-121.874117
88,400664,37.303458,-121.878143
89,400665,37.341439,-121.849299
90,400668,37.35512,-121.866967
91,400673,37.329972,-122.013423
92,400677,37.32001,-122.048757
93,400687,37.408833,-122.000989
94,400688,37.259412,-121.966974
95,400690,37.255184,-121.876817
96,400700,37.251345,-121.934089
97,400709,37.341275,-121.927699
98,400713,37.251585,-121.934046
99,400714,37.316788,-121.953512
100,400715,37.256205,-121.955355
101,400717,37.250424,-121.912467
102,400723,37.334296,-121.936706
103,400743,37.398989,-122.028373
104,400750,37.250746,-121.907763
105,400760,37.374628,-121.931055
106,400772,37.250448,-121.928226
107,400790,37.391922,-121.998077
108,400792,37.255491,-121.955543
109,400794,37.390422,-121.993716
110,400799,37.327927,-121.876137
111,400804,37.336089,-121.848437
112,400822,37.255715,-121.955375
113,400823,37.334249,-122.030111
114,400828,37.298804,-122.030071
115,400832,37.254601,-121.956775
116,400837,37.303359,-121.878066
117,400842,37.261849,-121.859205
118,400863,37.371809,-121.91655
119,400869,37.403673,-122.069953
120,400873,37.420927,-121.93674
121,400895,37.380958,-121.960741
122,400904,37.395067,-122.010518
123,400907,37.257815,-121.96237
124,400911,37.372674,-121.922087
125,400916,37.320404,-121.89031
126,400922,37.363644,-121.899535
127,400934,37.254002,-121.949365
128,400951,37.325151,-121.940679
129,400952,37.279234,-122.01035
130,400953,37.327241,-121.88076
131,400964,37.376685,-121.94075
132,400965,37.363311,-121.893592
133,400970,37.409675,-121.996301
134,400971,37.368669,-121.901336
135,400973,37.417735,-121.972451
136,400995,37.313375,-121.886106
137,400996,37.350928,-121.862378
138,401014,37.420505,-121.9392
139,401129,37.266722,-121.859225
140,401154,37.266658,-121.85921
141,401163,37.316756,-121.923186
142,401167,37.316984,-121.923208
143,401210,37.291198,-122.023391
144,401224,37.291054,-122.023638
145,401327,37.315095,-121.914498
146,401351,37.401701,-122.032879
147,401388,37.316628,-121.952438
148,401391,37.337881,-121.85467
149,401400,37.316841,-121.952427
150,401403,37.338232,-121.854583
151,401440,37.356826,-121.908804
152,401457,37.279515,-121.864784
153,401464,37.424833,-121.916049
154,401489,37.427486,-121.916962
155,401495,37.255346,-121.85898
156,401507,37.412677,-122.079539
157,401534,37.407511,-122.065278
158,401541,37.370203,-121.901514
159,401555,37.255657,-121.858984
160,401560,37.357526,-121.907884
161,401567,37.279628,-121.864838
162,401597,37.2874,-121.869623
163,401606,37.287298,-121.869548
164,401611,37.318919,-121.940307
165,401655,37.335596,-121.858919
166,401808,37.334883,-121.860066
167,401809,37.334524,-121.860098
168,401810,37.32592,-121.883989
169,401811,37.325651,-121.883953
170,401816,37.37116,-121.926885
171,401817,37.371274,-121.926917
172,401845,37.332668,-122.060628
173,401846,37.332482,-122.060617
174,401890,37.343447,-121.855539
175,401891,37.343293,-121.855795
176,401906,37.335259,-121.848031
177,401908,37.335284,-121.847662
178,401926,37.411999,-122.078452
179,401936,37.407282,-122.06515
180,401937,37.411338,-122.076826
181,401942,37.322594,-121.897858
182,401943,37.322361,-121.8978
183,401948,37.409514,-122.071728
184,401957,37.270311,-121.861079
185,401958,37.270209,-121.860998
186,401994,37.385523,-121.975872
187,401996,37.396411,-122.015716
188,401997,37.398597,-122.025693
189,401998,37.404178,-122.05107
190,402056,37.328954,-121.895643
191,402057,37.336401,-121.897563
192,402058,37.337137,-121.897741
193,402059,37.337479,-121.897848
194,402060,37.356655,-122.062397
195,402061,37.356616,-122.06262
196,402067,37.321367,-121.899571
197,402117,37.344302,-121.902123
198,402118,37.344411,-121.902181
199,402119,37.421182,-121.915036
200,402120,37.399227,-121.908515
201,402121,37.380274,-121.904061
202,402281,37.38449,-121.904845
203,402282,37.384485,-121.905044
204,402283,37.391595,-121.906506
205,402284,37.391557,-121.90671
206,402285,37.398698,-121.908172
207,402286,37.405824,-121.909842
208,402287,37.405777,-121.910072
209,402288,37.419153,-121.914103
210,402289,37.419106,-121.914308
211,402359,37.329728,-121.842102
212,402360,37.329591,-121.842361
213,402361,37.336549,-121.848881
214,402362,37.358996,-121.871981
215,402363,37.3588,-121.872094
216,402364,37.368104,-121.90788
217,402365,37.367859,-121.907971
218,402366,37.388542,-121.986478
219,402367,37.388372,-121.986538
220,402368,37.393954,-122.005269
221,402369,37.393755,-122.005329
222,402370,37.39592,-122.013438
223,402371,37.396611,-122.017518
224,402372,37.40547,-122.055924
225,402373,37.405335,-122.056343
226,403225,37.349517,-121.91728
227,403265,37.349229,-121.917686
228,403329,37.270267,-121.947353
229,403401,37.328484,-121.870843
230,403402,37.32872,-121.870796
231,403404,37.327807,-121.874899
232,403406,37.32592,-121.883314
233,403409,37.324015,-121.890673
234,403412,37.32243,-121.89764
235,403414,37.314844,-121.913648
236,403419,37.316766,-121.921548
237,404370,37.296028,-121.939132
238,404434,37.265521,-121.98154
239,404435,37.326592,-122.050852
240,404444,37.265311,-121.981694
241,404451,37.27263,-121.862544
242,404452,37.284773,-121.867709
243,404453,37.309111,-121.882596
244,404461,37.309012,-121.882518
245,404462,37.272658,-121.862556
246,404521,37.382586,-121.965617
247,404522,37.402071,-122.041627
248,404553,37.395734,-122.013489
249,404554,37.401893,-122.041683
250,404585,37.406298,-122.011605
251,404586,37.406475,-122.011621
252,404640,37.333614,-122.049627
253,404753,37.364689,-121.902989
254,404759,37.365167,-121.901551
255,405613,37.262704,-121.858533
256,405619,37.284665,-121.867631
257,405701,37.316969,-121.924481
258,407150,37.427274,-121.884436
259,407151,37.420741,-121.882093
260,407152,37.416073,-121.880751
261,407153,37.398059,-121.875211
262,407155,37.391513,-121.870376
263,407157,37.385475,-121.863839
264,407161,37.40777,-121.878234
265,407165,37.344023,-121.845368
266,407172,37.341738,-121.848369
267,407173,37.342007,-121.847982
268,407174,37.40088,-121.876103
269,407176,37.358523,-121.840267
270,407177,37.360223,-121.841285
271,407179,37.368611,-121.846609
272,407180,37.372785,-121.850839
273,407181,37.379684,-121.857783
274,407184,37.427403,-121.884848
275,407185,37.420881,-121.882423
276,407186,37.391614,-121.870798
277,407187,37.383139,-121.861675
278,407190,37.412704,-121.880023
279,407191,37.407919,-121.878542
280,407194,37.344191,-121.845564
281,407200,37.398207,-121.875543
282,407202,37.360613,-121.841794
283,407204,37.366097,-121.845103
284,407206,37.372897,-121.851246
285,407207,37.379794,-121.858188
286,407321,37.333648,-122.056851
287,407323,37.396419,-122.068661
288,407325,37.383707,-122.068108
289,407328,37.377217,-122.067542
290,407331,37.335431,-122.058337
291,407332,37.407311,-122.069566
292,407335,37.373213,-122.067368
293,407336,37.363146,-122.062707
294,407337,37.353092,-122.0609
295,407339,37.351571,-122.060285
296,407341,37.344713,-122.059766
297,407342,37.379094,-122.067604
298,407344,37.331501,-122.054687
299,407348,37.384273,-122.068412
300,407352,37.377057,-122.067805
301,407359,37.407147,-122.070055
302,407360,37.373187,-122.067646
303,407361,37.363107,-122.063006
304,407364,37.351529,-122.060518
305,407367,37.379368,-122.067871
306,407370,37.333574,-122.057007
307,407372,37.344708,-122.059991
308,407373,37.337629,-122.059717
309,407374,37.395123,-122.068612
310,407710,37.317459,-121.938793
311,407711,37.317112,-121.941507
312,408907,37.321822,-121.940425
313,408911,37.325153,-121.940859
314,409524,37.348448,-121.907247
315,409525,37.362566,-121.917493
316,409526,37.366737,-121.921627
317,409528,37.362467,-121.917418
318,409529,37.366662,-121.921519
319,413026,37.421232,-121.914808
320,413845,37.422887,-121.925747
321,413877,37.321613,-121.899642
322,413878,37.324641,-121.888603
323,414284,37.323066,-121.896538
324,414694,37.315051,-121.913497
